"","StartDate","Progress","DurationInSeconds","Finished","Consent","PracticeYogaInterest","YogaExperience","YogaActivities","YogaActivitiesText","YogaFrequency","YogaLifestyle","YogaContentInterest","YogaInfoSeeking","PreferredVideoFormats","BeginnerFlowInterest","StressReliefFlowInterest","BreathworkInterest","FullLengthClassInterest","MonthlyProgramInterest","ShortsInterest","ChineseMedicineInterest","SubscriptionInterest","WillingnessToPay","WillingnessToPayText","VisitLikelihood","SocialPlatforms","AgeGroup","Gender","IncomeBracket","Languages","LanguagesText","Country","SearchInterest","lang_english","lang_mandarin","lang_cantonese","lang_spanish","lang_other"
"1",2025-12-08,"100","135","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"AnswerDisplayOrder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AnswerDisplayOrder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2026-01-28,"100","201","1","1",4,1,"4,7",NA,3,4,4,4,"1,2,3",4,4,4,4,3,4,"4",27,1,NA,20,"1","3","3","3","1,4",NA,"187",3,1,0,0,1,0
"3",2026-02-10,"100","186","1","1",4,3,"1,2,4,5,6",NA,5,5,5,5,"4",4,4,4,4,4,5,"4",29,4,NA,20,"1,2","3","2","6","1,4",NA,"187",3,1,0,0,1,0
"4",2026-02-10,"100","175","1","1",4,3,"1,2,3,4,5,6,7",NA,4,2,5,4,"3",4,4,5,4,4,3,"2",27,5,"0",20,"1,2","3","2","4","1",NA,"187",3,1,0,0,0,0
"5",2026-02-10,"100","149","1","1",4,3,"1,3,5,6",NA,4,4,4,4,"4",3,4,4,4,5,5,"3",29,3,NA,20,"1","4","1","3","1",NA,"31",4,1,0,0,0,0
"6",2026-02-11,"100","185","1","1",4,3,"1,4,5,6",NA,4,5,5,4,"1,2,3,4",3,3,4,5,4,3,"4",28,1,NA,18,"1,4","4","2","2","1",NA,"187",2,1,0,0,0,0
"7",2026-02-11,"100","197","1","1",4,1,"1,4",NA,5,5,3,4,"2",3,3,4,4,1,3,"3",28,2,NA,18,"1,4","4","2","6","1",NA,"187",4,1,0,0,0,0
"8",2026-02-11,"100","212","1","1",4,2,"1,3,4,5",NA,5,5,5,5,"2,3,4",3,4,4,4,5,2,"2",27,2,NA,19,"1","4","2","5","1",NA,"185",4,1,0,0,0,0
"9",2026-02-11,"100","206","1","1",4,3,"1,4,7",NA,5,4,5,3,"2,3,4",2,4,5,4,5,2,"2",27,5,"I would pay upwards of $20/month if valuable to me",20,"1,2","2","2","4","1",NA,"9",2,1,0,0,0,0
"10",2026-02-11,"100","207","1","1",4,3,"1,3,4,5,6,8","200 hr Yoga teacher training",2,4,4,3,"2,3",4,4,4,5,4,2,"1",27,5,"0 without knowing more",19,NA,"4","2","6","1",NA,"187",3,1,0,0,0,0
"11",2026-02-11,"100","199","1","1",4,3,"1,3,7",NA,3,2,4,3,"4",1,1,1,4,5,1,"1",26,5,"0",20,"2","4","2","6","1,4",NA,"187",3,1,0,0,1,0
"12",2026-02-11,"100","199","1","1",4,3,"1,4,6,7",NA,3,4,4,4,"3,4",4,4,4,4,3,3,"2",28,NA,NA,20,"1","3","2","6","1",NA,"187",3,1,0,0,0,0
"13",2026-02-11,"100","166","1","1",4,3,"1,4",NA,3,3,2,2,"2",4,4,4,2,4,4,"2",28,2,NA,18,"1,2","3","2","4","1",NA,"10",2,1,0,0,0,0
"14",2026-02-11,"100","164","1","1",5,4,"4",NA,1,5,5,5,"3,4",5,5,5,5,5,5,"5",30,1,NA,19,"1,3","2","2","1","1,4",NA,"187",4,1,0,0,1,0
"15",2026-02-11,"100","306","1","1",4,3,"3,4,5,6,7",NA,4,5,5,5,"3,4",4,4,4,4,4,4,"4",29,1,NA,20,"1","4","1","6","1",NA,"187",4,1,0,0,0,0
"16",2026-02-12,"100","191","1","1",4,3,"1,4,6",NA,5,4,4,3,"4",4,4,4,4,4,4,"4",28,3,NA,19,"2","4","2","1","1",NA,"185",4,1,0,0,0,0
"17",2026-02-12,"100","218","1","1",4,3,"1,4,7",NA,2,5,5,3,"3,4",4,2,1,3,5,1,"1",26,5,"0",18,"1","3","2","4","1",NA,"187",1,1,0,0,0,0
"18",2026-02-13,"100","119","1","1",4,1,"1,4",NA,4,4,4,4,"3",4,5,5,4,4,3,"3",29,4,NA,20,"1","3","2","1","1",NA,"185",4,1,0,0,0,0
"19",2026-02-13,"100","129","1","1",3,1,"1,3,4",NA,4,4,3,3,"1,2,3",4,4,4,4,4,3,"3",27,1,NA,19,"1,4","3","2","2","1",NA,"187",3,1,0,0,0,0
"20",2026-02-13,"100","154","1","1",4,3,"1,2,6,7",NA,2,4,4,2,"2,3",3,4,3,2,3,3,"4",27,1,NA,18,"1","4","2","6","1",NA,"187",3,1,0,0,0,0
"21",2026-02-13,"100","139","1","1",4,3,"1,4,5,7",NA,3,5,5,5,"1,2",3,3,4,4,4,3,"2",27,1,NA,18,"1","3","2","6","1",NA,"187",3,1,0,0,0,0
"22",2026-02-14,"100","207","1","1",4,2,"4,7",NA,4,5,5,4,"1,4",3,3,3,4,4,2,"3",27,5,NA,17,"1","3","2","6","1",NA,"9",3,1,0,0,0,0
"23",2026-02-14,"100","227","1","1",4,3,"1,5,7",NA,5,5,5,5,"3",3,3,5,4,4,2,"1",29,2,NA,19,"1","4","2","2","1",NA,"187",4,1,0,0,0,0
"24",2026-02-15,"100","224","1","1",4,3,"7",NA,5,1,1,1,"1,4",3,4,4,4,5,4,"5",30,5,"0",20,"1,2","3","2","5","1",NA,"78",4,1,0,0,0,0
"25",2026-02-15,"100","60","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2026-02-10,"47","82","0","1",4,3,"1,4,5,6",NA,4,5,5,5,"4",5,5,5,4,5,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2026-02-17,"100","144","1","1",4,3,"1,3,4,7",NA,4,5,5,4,"2,3,4",3,4,3,3,4,4,"3",29,1,NA,20,"1","3","2","4","1",NA,"187",4,1,0,0,0,0
"28",2026-02-18,"100","292","1","1",4,3,"1,7",NA,3,4,3,2,NA,2,2,1,2,2,2,"3",28,NA,NA,19,NA,"4","2","6","1,4",NA,"187",2,1,0,0,1,0
"29",2026-02-11,"47","166","0","1",4,3,"1,3,4,5,7",NA,3,5,5,4,"2,3,4",3,4,3,4,4,2,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2026-02-11,"47","101","0","1",4,3,"1,3,4,5,6",NA,2,4,3,3,"3",3,4,4,2,3,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2026-02-11,"58","130","0","1",4,3,"1,2,4,5,6",NA,3,1,1,1,"3,4",3,3,3,3,4,3,"4",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2026-02-11,"11","53","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2026-02-11,"5","24","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2026-02-11,"11","30","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2026-02-12,"11","63","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2026-02-12,"42","69","0","1",4,3,"1,4,7",NA,3,4,3,4,"2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2026-02-12,"42","149","0","1",4,2,"1,4,5",NA,4,5,5,5,"1,2,3,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2026-02-13,"47","113","0","1",4,3,"1,4,6",NA,2,1,3,3,"3,4",3,3,4,2,5,3,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2026-02-13,"5","24","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2026-02-27,"100","333","1","1",4,3,"1,4,5,7",NA,3,4,2,3,"1",3,4,4,3,4,3,"4",27,5,"0",18,"1","3","2","5","1",NA,"187",4,1,0,0,0,0
"41",2026-03-02,"100","566","1","1",4,2,"3",NA,4,5,5,3,"2",5,5,5,5,5,4,"5",27,1,NA,18,"1","3","2","6","1,2",NA,"187",3,1,1,0,0,0
"42",2026-03-02,"100","464","1","1",4,1,"3,4",NA,5,5,5,5,"3,4",5,5,5,5,5,5,"5",30,4,NA,21,"1,2,4,5","3","2","3","1,2",NA,"123",5,1,1,0,0,0
"43",2026-03-02,"100","440","1","1",4,1,"6",NA,2,5,4,5,"1,2,3",5,4,4,5,3,4,"4",29,4,NA,21,"1,2,3,4","3","2","2","1,2",NA,"187",5,1,1,0,0,0
"44",2026-03-02,"100","311","1","1",4,1,"3",NA,5,5,5,5,"4",5,5,5,5,5,5,"5",30,4,NA,21,"1","4","2","1","2",NA,"8",5,0,1,0,0,0
"45",2026-03-02,"100","405","1","1",4,2,"3,4",NA,4,5,4,4,"3,4",4,4,5,4,4,4,"4",28,4,NA,20,"1","4","2","3","2",NA,"187",5,0,1,0,0,0
"46",2026-03-02,"100","605","1","1",4,2,"3,4",NA,3,4,4,4,"3",5,4,5,5,4,4,"5",30,2,NA,20,"1","4","2","3","1,2,3",NA,"187",5,1,1,1,0,0
"47",2026-03-02,"100","582","1","1",4,2,"3,4",NA,4,4,4,4,"2,3",4,4,5,5,3,3,"3",29,5,"0",19,"2","4","2","2","1,2",NA,"187",3,1,1,0,0,0
"48",2026-03-02,"100","643","1","1",4,2,"1,3",NA,4,4,4,4,"4",4,4,4,4,4,3,"4",29,3,NA,19,"1","4","2","6","2",NA,"187",4,0,1,0,0,0
"49",2026-03-02,"100","320","1","1",4,1,"1,3,4",NA,5,5,5,5,"2",4,5,5,5,4,5,"4",29,1,NA,20,"3","4","2","2","2,3",NA,"36",3,0,1,1,0,0
"50",2026-03-02,"100","388","1","1",4,2,"3,4",NA,4,5,4,4,"3",5,5,5,5,4,4,"4",30,4,NA,21,"1","4","2","2","1,2",NA,"187",5,1,1,0,0,0
"51",2026-03-02,"100","315","1","1",4,1,"1,4",NA,5,4,4,4,"2,4",4,4,4,5,4,4,"4",29,4,NA,20,"1","4","2","4","1,2,3",NA,"187",4,1,1,1,0,0
"52",2026-03-02,"100","285","1","1",4,1,"3,4",NA,5,5,5,5,"1,2,3,4",5,5,5,5,5,5,"4",30,4,NA,20,"1","4","2","6","1,2",NA,"187",5,1,1,0,0,0
"53",2026-03-02,"100","423","1","1",4,2,"3,4",NA,5,5,4,5,"3",4,5,5,5,5,4,"3",30,2,NA,21,"1,2,4","4","2","6","1,2",NA,"187",5,1,1,0,0,0
"54",2026-03-02,"100","767","1","1",4,2,"3,8","Sino yoga",5,5,5,4,"4",5,4,5,5,5,5,"4",30,2,NA,21,"1,3","4","2","4","1,2,3",NA,"31",5,1,1,1,0,0
"55",2026-02-27,"11","33","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2026-03-02,"11","55","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2026-03-09,"100","247","1","1",4,3,"1,3,4,5,6",NA,5,5,5,4,"3,4",4,5,5,5,5,5,"4",27,3,NA,20,NA,"5","2",NA,"1",NA,"187",4,1,0,0,0,0
"58",2026-03-09,"100","237","1","1",4,3,"1",NA,4,4,4,2,"1,2,3,4",2,4,2,4,3,3,"3",28,1,NA,19,"1","4","1","3","1",NA,"187",3,1,0,0,0,0
"59",2026-03-09,"100","55","1","1",4,4,"3,7",NA,1,1,3,5,"3",2,2,1,4,4,NA,"3",28,2,NA,20,"4","4","2","2","2",NA,"3",3,0,1,0,0,0
"60",2026-03-09,"100","213","1","1",4,3,"1,3,4,5,7",NA,4,4,5,5,"1,2,3,4",4,4,4,4,4,2,"2",27,5,"0",18,"1,2","4","2","6","1",NA,"187",3,1,0,0,0,0
"61",2026-03-09,"100","176","1","1",4,3,"1,7",NA,3,3,4,4,NA,2,2,2,2,4,1,"1",26,5,"0",20,"2","3","2","5","1,4",NA,"187",1,1,0,0,1,0
